Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-01-03,178.64564514160156,179.49957387951153,174.4251401333062,174.5429172102293,104487900
2022-01-04,176.37835693359375,179.55847298837972,175.80907606705392,179.25420553725706,99310400
2022-01-05,171.6866912841797,176.83964771384632,171.4118681394032,176.2900014242933,94537600
2022-01-06,168.82069396972656,172.05969865170314,168.46734773211566,169.50775193820877,96904000
2022-01-07,168.98751831054688,170.92110500332652,167.86859126297153,169.69421065393524,86709100
2022-01-10,169.0071563720703,169.31142378084766,165.06145986786478,165.95464256744464,106765600
2022-01-11,171.84371948242188,171.94186203720994,167.66246923468782,169.13474234713826,76138300
2022-01-12,172.28546142578125,173.9049564510331,171.58859361801524,172.8645521340357,74805200
2022-01-13,169.0071563720703,173.3552628490283,168.614541185956,172.5307934232952,84505800
2022-01-14,169.8709259033203,170.56779364905069,167.92751407393143,168.17289299389805,80440800
2022-01-18,166.66134643554688,169.35068950665382,166.27855596311068,168.33972966979056,90956700
2022-01-19,163.15733337402344,167.91769000661554,162.87270044087128,166.85765136543813,94815000
2022-01-20,161.4691162109375,166.54354975921092,161.14521428529383,163.8934607946357,91420500
2022-01-21,159.407958984375,163.25549850314817,159.29999166470387,161.38080003283116,122848900
2022-01-24,158.63255310058594,159.2999915243486,151.8404666623007,157.06213706108227,162294600
2022-01-25,156.82652282714844,159.75143440281596,154.11754582855056,156.04130754478018,115798400
2022-01-26,156.73825073242188,161.3513717096446,154.9028210933392,160.4778233011423,108275300
2022-01-27,156.27688598632812,160.81148242302393,155.35425909751854,159.44717659164758,121954600
2022-01-28,167.18154907226562,167.2011835771804,159.79073801782928,162.64695192499494,179935700
2022-01-31,171.54930114746094,171.76523578487254,166.37670956776643,167.0147037152971,115541600
2022-02-01,171.38247680664062,171.6082212502739,169.1249874400796,170.79356132780114,86213900
2022-02-02,172.5896759033203,172.62894490892336,170.12607747590963,171.5198276400682,84914300
2022-02-03,169.70401000976562,172.98228289261496,168.93842918083482,171.25480616949991,89418100
2022-02-04,169.4190673828125,171.0996042103979,167.7385305552271,168.72129677126426,82465400
2022-02-07,168.70162963867188,170.95215737367448,168.00385912062177,169.88094594072888,77251200
2022-02-08,171.8170166015625,172.32805922455944,168.4756025229789,168.77043538223953,74829200
2022-02-09,173.24205017089844,173.60566892003988,171.88582781555561,173.01601811028274,71285000
2022-02-10,169.15367126464844,172.45576547110866,168.59350246849255,171.1388626912715,90865900
2022-02-11,165.7336883544922,170.09717260247885,165.14402264688573,169.3600979658817,98670700
2022-02-14,165.9695281982422,166.65746140454794,163.68950386212114,164.4855419291192,86185500
2022-02-15,169.8121337890625,169.969379951066,167.3159146994891,168.02350743268553,62527400
2022-02-16,169.57630920410156,170.35268789659128,167.1193937273566,168.88837586977738,61177400
2022-02-17,165.9695281982422,168.9473080022522,165.56659053604196,168.08246911671398,69589300
2022-02-18,164.41676330566406,167.6009157130797,163.32589238939244,166.893337952625,82772700
2022-02-22,161.4881591796875,163.8173104192216,159.35554319733427,162.13677351501823,91162800
2022-02-23,157.31138610839844,163.2865911526906,156.99689373984543,162.68710319648025,90009200
2022-02-24,159.9353485107422,160.04345337346268,149.3804359903009,149.9504420850254,141147500
2022-02-25,162.0089874267578,162.27432346013268,158.09756779697935,161.0163841306603,91974200
2022-02-28,162.2743377685547,162.569170605232,159.63069449285575,160.249841950296,95056600
2022-03-01,160.38742065429688,163.72883431123614,159.17862257926774,161.86156976875884,83474400
2022-03-02,163.6894989013672,164.47571468295504,160.14171312084568,161.55689852854007,79724800
2022-03-03,163.36521911621094,165.99904029600498,162.6969453068408,165.56662077426103,76678400
2022-03-04,160.35794067382812,162.69692876038988,159.30638875818744,161.65519910712737,83737200
2022-03-07,156.5546417236328,162.17606497919274,156.29911294194886,160.54466966467405,96418800
2022-03-08,154.7266845703125,160.0729341178279,153.1149488975309,156.08290647641851,131148300
2022-03-09,160.1417236328125,160.59380261054181,156.66273844037977,158.69705635061237,91454900
2022-03-10,155.7880859375,157.62585374072557,153.2918516527838,157.43912578291366,105342000
2022-03-11,152.0634002685547,156.5349891936971,151.83736825574178,156.19101504721644,96970100
2022-03-14,148.02423095703125,151.46391244119621,147.51320336208943,148.83992865134607,108732100
2022-03-15,152.4171905517578,152.88892907582556,147.78837062747488,148.29939820148408,92964300
2022-03-16,156.83963012695312,157.24256780595263,151.79805049383225,154.34341096119434,102300200
2022-03-17,157.85186767578125,158.2253235486575,154.91340697863026,155.87651344487975,75615400
2022-03-18,161.1539764404297,161.6453594768953,157.00670241299437,157.74377696769278,123511700
2022-03-21,162.52987670898438,163.4831611094786,160.20071065000747,160.692093743218,95811400
2022-03-22,165.91058349609375,166.50023417031582,162.06796436975657,162.6576150439786,81532000
2022-03-23,167.276611328125,169.66472556538113,164.76071771343146,165.0948695579846,98062700
2022-03-24,171.07012939453125,171.13891523462917,167.2766510462142,168.11199336639177,90131400
2022-03-25,171.7089080810547,172.25925474224047,169.77285750778353,170.88338808927602,80546200
2022-03-28,172.57376098632812,172.70151040277005,169.03579645749323,169.20286492193503,90371900
2022-03-29,175.87582397460938,175.92495028186923,173.30096665224875,173.64494077798946,100589400
2022-03-30,174.70632934570312,176.51461532464543,173.6547624474948,175.4728856845117,92633200
2022-03-31,171.60079956054688,174.96185802360853,171.3944120690703,174.77513005413485,103049300
2022-04-01,171.30593872070312,171.86612253758457,168.97678810398756,171.03076544091473,78751300
2022-04-04,175.36480712890625,175.413948439192,171.43374223920495,171.56150664678344,76468400
2022-04-05,172.04299926757812,175.22716624153688,171.4140296796648,174.44095050769076,73401800
2022-04-06,168.86868286132812,170.63766465296877,167.19798366759716,169.38954763944744,89058800
2022-04-07,169.17335510253906,170.37233093887772,166.9228273416991,168.21024852764788,77594700
2022-04-08,167.15866088867188,168.81953778376487,166.28399977180155,168.81953778376487,76575500
2022-04-11,162.8934783935547,166.11694994882637,162.6477868725991,165.80247259982983,72246700
2022-04-12,164.77053833007812,166.94244262331648,163.7681128892969,165.12433466236456,79265200
2022-04-13,167.46334838867188,168.0923181339545,163.89591740962862,164.50522763279633,70618900
2022-04-14,162.44140625,168.3183584761883,162.19571471867903,167.67955149726123,75329400
2022-04-18,162.22518920898438,163.7288199744053,160.75104022360551,161.09499932270256,69023900
2022-04-19,164.51504516601562,164.92782013945308,161.08520094874402,162.17607195952326,67723800
2022-04-20,164.34796142578125,165.9695343967265,163.23744599263426,165.851592274227,67929800
2022-04-21,163.5519256591797,168.57386081804293,163.05072036783037,165.9990185433864,87227800
2022-04-22,159.00172424316406,164.97694406303006,158.7167286660117,163.5912552281569,84882400
2022-04-25,160.07296752929688,160.35796313638966,155.72914261422412,158.343289375942,96046400
2022-04-26,154.09771728515625,159.54223452082468,154.01909420285892,159.45378917667253,95623200
2022-04-27,153.8717041015625,157.03619732481974,152.7022099776654,153.2230748402012,88063200
2022-04-28,160.81985473632812,161.68469376070493,156.19101949826612,156.50551186924736,130216800
2022-04-29,154.93307495117188,163.33572839193604,154.53997449609216,159.05086744995398,131747600
2022-05-02,155.2377471923828,155.50308325510557,150.6285715632027,154.00928950852122,123055300
2022-05-03,156.73153686523438,157.94034999172632,153.62600731797474,155.42445612408045,88966500
2022-05-04,163.15882873535156,163.61089273431188,156.5153204398764,156.91825813151257,108256500
2022-05-05,154.06826782226562,161.25228664566353,152.27962606539685,161.02625460903184,130525300
2022-05-06,154.7965545654297,156.92245186539364,151.74549742097102,153.54660360417492,116124600
2022-05-09,149.65895080566406,153.36942622989235,149.09795898763585,152.4836283339545,131577900
2022-05-10,152.07029724121094,154.2650965784608,150.5152434800802,153.0643590542694,115366700
2022-05-11,144.186767578125,152.9954442320576,143.5076602631258,151.07623770131187,142689800
2022-05-12,140.30897521972656,143.89149901958908,136.60835102555794,140.51566592761506,182602000
2022-05-13,144.78712463378906,145.7614978791984,140.8502848803236,142.3069113841073,113990900
2022-05-16,143.2418975830078,145.1906439345295,141.90337156179376,143.25174929311245,86643800
2022-05-17,146.8834991455078,147.40512922042456,144.36390904477065,146.5094945567554,78336300
2022-05-18,138.59645080566406,145.03317719827086,137.69096444615863,144.5312355358542,109742900
2022-05-19,135.18128967285156,139.42323363038176,134.44313195352663,137.67134051127914,136095600
2022-05-20,135.41744995117188,138.47834364409812,130.51608836864122,136.89376494741566,137426100
2022-05-23,140.85028076171875,140.99790624101624,135.47648804751876,135.6142768341469,117726300
2022-05-24,138.14373779296875,139.728316741357,135.16158222827767,138.58662935862338,104132700
2022-05-25,138.30120849609375,139.55114451962976,136.15562265268915,136.2441979580696,92482700
2022-05-26,141.50970458984375,142.06085975579472,134.97455116041425,135.2206036464889,90601500
2022-05-27,147.2771759033203,147.31653769335477,142.96633152872457,143.09428362757757,90978500
2022-05-31,146.4897918701172,148.28106102280944,144.52137215129963,146.71617095063365,103718400
2022-06-01,146.3618621826172,149.3440170056093,145.34811215987284,147.53305935939102,74286600
2022-06-02,148.8223876953125,148.88143788729292,144.54106856251593,145.49575338046964,72348100
2022-06-03,143.08445739746094,145.63355774291225,142.17898598193645,144.58044581379545,88570300
2022-06-06,143.8324432373047,146.22408125410382,142.61201747807138,144.70838950271786,71598400
2022-06-07,146.3618621826172,146.64727644838695,141.82465390118458,142.07070637844697,67808200
2022-06-08,145.6237335205078,147.5035634046079,145.1316284687619,146.23393897895934,53950200
2022-06-09,140.38771057128906,145.61386314826538,140.2794468730643,144.75760527366657,69473000
2022-06-10,134.96475219726562,138.5374250816839,134.89585027333402,138.06500838135332,91437900
